	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396
D00049	1	0.352941	0.096774	0.107143	0.222222	0.096774	0.192308	0.2	0.129032	0.190476	0.096774	0.192308	0.083333	0	0.102564	0.166667	0.352941	0.114286	0.153846	0.108108	0.210526	0.142857	0.130435	0.217391	0.076923	0.103448	0.074074	0.166667	0.105263	0.142857	0.16129	0.157895	0.173913	0.148148	0.2	0.205882	0.3	0.086957	0.153846	0	0.111111	0.114286	0.148148	0.133333	0.071429	0.066667	0	0.16	0.148148	0.166667	0.153846	0.208333	0.133333	0.16	0.153846	0	0.125	0.166667	0.173913	0.2	0.135135	0.128205	0.2	0.108108	0	0.2	0.15	0.178571	0	0.083333	0.102564	0.208333	0.181818	0.142857	0.117647	0.2	0.190476	0	0.117647	0.129032	0.170732	0.142857	0.122449	0.137931	0.178571	0.241379	0.205882	0.107143	0.137931	0.266667	0.193548	0.075	0.090909	0.090909	0.152174	0.095238	0.178571	0.115385	0.049383	0	0.129032	0.2	0.185185	0.075472	0.153846	0.162162	0.173913	0.166667	0	0.148148	0.105263	0.210526	0.190476	0.074074	0.117647	0.151515	0	0.147059	0.142857	0.157895	0.114286	0.088889	0.116279	0.102564	0.189189	0.15625	0.15625	0.142857	0.21875	0.21875	0.076923	0.153846	0.294118	0.190476	0.133333	0.166667	0.2	0.135135	0.111111	0.085714	0.135135	0.173913	0.16	0.205882	0.114286	0.142857	0.291667	0.137931	0.151515	0.105263	0.128205	0.1	0.15625	0.12766	0.15	0.095238	0.192308	0.241379	0.189189	0.181818	0.230769	0.190476	0.074074	0	0.08642	0.15	0.176471	0.233333	0.137931	0.142857	0.142857	0.133333	0.125	0.105263	0.129032	0.166667	0.153846	0.137931	0.068966	0.153846	0.227273	0.121212	0.142857	0.129032	0.09375	0.138889	0.137931	0.12	0.111111	0.083333	0	0.097561	0.170732	0.4	0.052632	0.072917	0.137931	0.125	0.208333	0.230769	0.138889	0.185185	0.148148	0.122449	0.171429	0.15	0.15	0.148936	0.21875	0.210526	0.181818	0.166667	0.153846	0.096774	0.2	0.2	0.103448	0.125	0.078431	0.147059	0.16129	0.148148	0.107143
D00059	0.352941	1	0.181818	0.090909	0.5	0.181818	0.125	0.166667	0.176471	0.2	0.181818	0.2	0.128205	0.060606	0.142857	0.32	0.473684	0.189189	0.206897	0.15	0.166667	0.193548	0.148148	0.178571	0.086957	0.233333	0.172414	0.181818	0.146341	0.184211	0.171429	0.125	0.185185	0.241379	0.206897	0.243243	0.148148	0.122449	0.25	0.078947	0.166667	0.157895	0.2	0.147059	0.129032	0.118421	0	0.259259	0.16129	0.176471	0.25	0.259259	0.181818	0.259259	0.206897	0.071429	0.171429	0.176471	0.28	0.208333	0.119048	0.166667	0.236842	0.15	0.086957	0.16	0.12	0.151515	0.05	0.148148	0.170732	0.172414	0.24	0.233333	0.192308	0.16	0.2	0.042553	0.162162	0.212121	0.204545	0.321429	0.2	0.1875	0.266667	0.242424	0.210526	0.16129	0.225806	0.30303	0.3125	0.170732	0.177778	0.152174	0.208333	0.159091	0.151515	0.214286	0.071429	0.039216	0.142857	0.318182	0.193548	0.107143	0.206897	0.263158	0.28	0.2	0.057143	0.2	0.119048	0.473684	0.363636	0.214286	0.228571	0.131579	0	0.128205	0.233333	0.285714	0.157895	0.125	0.104167	0.170732	0.225	0.135135	0.166667	0.193548	0.222222	0.294118	0.175	0.166667	0.285714	0.428571	0.12	0.269231	0.205128	0.119048	0.153846	0.162162	0.205128	0.185185	0.214286	0.210526	0.157895	0.15625	0.384615	0.1875	0.194444	0.119048	0.166667	0.166667	0.2	0.234043	0.243902	0.214286	0.16129	0.28125	0.225	0.347826	0.48	0.428571	0.086207	0.044444	0.134146	0.272727	0.315789	0.235294	0.225806	0.193548	0.233333	0.21875	0.171429	0.175	0.212121	0.269231	0.296296	0.225806	0.16129	0.206897	0.230769	0.135135	0.233333	0.176471	0.176471	0.179487	0.1875	0.178571	0.153846	0.117647	0.075	0.111111	0.204545	0.181818	0.089744	0.113402	0.225806	0.142857	0.133333	0.321429	0.210526	0.193548	0.333333	0.25	0.352941	0.166667	0.166667	0.204082	0.257143	0.217391	0.409091	0.176471	0.206897	0.181818	0.242424	0.27027	0.15625	0.142857	0.132075	0.222222	0.138889	0.2	0.2
D00079	0.096774	0.181818	1	0.236842	0.151515	0.724138	0.119048	0.15	0.108696	0.025	0.851852	0.044444	0.078431	0.210526	0.113208	0.128205	0.147059	0.122449	0.095238	0.14	0.026316	0.043478	0.105263	0.1	0.116883	0.230769	0.071429	0.193548	0.09434	0.4	0.061224	0.055556	0.102564	0.093023	0.121951	0.1875	0.02439	0.064516	0.121951	0.529412	0.15	0.122449	0.205128	0.041667	0.15	0.142857	0.125	0.097561	0.044444	0.186047	0.069767	0.097561	0.111111	0.071429	0.179487	0.205882	0.130435	0.085106	0.102564	0.052632	0.09434	0.176471	0.115385	0.14	0.090909	0.142857	0.054054	0.113636	0.032258	0.135135	0.134615	0.071429	0.135135	0.2	0.196721	0.025641	0.025	0.071429	0.038462	0.108696	0.122807	0.170732	0.20339	0.065217	0.113636	0.181818	0.163265	0.146341	0.113636	0.148936	0.204545	0.594595	0.142857	0.066667	0.210526	0.107143	0.166667	0.125	0.10989	0.142857	0.0625	0	0.142857	0.106061	0.095238	0.18	0.131579	0.226415	0.2	0.068182	0.208333	0.147059	0.078947	0.097561	0.125	0.102041	0.076923	0.078431	0.116279	0.1875	0.145833	0.048387	0.032258	0.072727	0.153846	0.104167	0.081633	0.090909	0.170213	0.122449	0.657143	0.069767	0.085714	0.138889	0.046875	0.1	0.208333	0.054545	0.12	0.125	0.074074	0.102564	0.046512	0.117647	0.122449	0.090909	0.119048	0.088889	0.459459	0.137255	0.395349	0.176471	0.12766	0.210526	0.215686	0.107143	0.146341	0.155556	0.2	0.166667	0.2	0.138889	0.027778	0.09434	0.155556	0.258065	0.241379	0.177778	0.166667	0.043478	0.2	0.086957	0.130435	0.137255	0.133333	0.189189	0.15	0.088889	0.119048	0.15	0.075	0.152174	0.170732	0.085106	0.545455	0.5	0.139535	0.073171	0.166667	0.114754	0.5	0.070175	0.142857	0.088235	0.103448	0.144231	0.195122	0.102564	0.071429	0.142857	0.075472	0.116279	0.175	0.267857	0.23913	0.181818	0.114286	0.147541	0.222222	0.026316	0.135135	0.085106	0.095238	0.162791	0.181818	0.16	0.142857	0.387097	0.092308	0.222222	0.130435	0.146341	0.093023
D00094	0.107143	0.090909	0.236842	1	0.029412	0.236842	0.1	0.075	0.066667	0.027027	0.175	0.073171	0.083333	0.162162	0.056604	0.051282	0.090909	0.019608	0.04878	0.08	0.090909	0.097561	0.083333	0.051282	0.064103	0.216216	0.05	0.259259	0.078431	0.104167	0.113636	0.060606	0.052632	0.128205	0.02381	0.125	0.054054	0.105263	0.075	0.139535	0.131579	0.083333	0.128205	0.146341	0.131579	0.044944	0.159091	0.076923	0.1	0.116279	0.075	0.05	0.068182	0.076923	0.228571	0.117647	0.042553	0.116279	0.052632	0.088235	0.078431	0.096154	0.078431	0.102041	0.1	0.088235	0.090909	0.121951	0	0.083333	0.037037	0.076923	0.114286	0.097561	0.129032	0.088235	0.027027	0.117647	0.085106	0.066667	0.109091	0.022727	0.133333	0.095238	0.121951	0.139535	0.2	0.128205	0.095238	0.108696	0.136364	0.217391	0.089286	0.089286	0.047619	0.092593	0.095238	0.076923	0.076923	0.12963	0.066667	0	0.071429	0.147541	0.075	0.142857	0.142857	0.148148	0.125	0.073171	0.122449	0.028571	0.085714	0.235294	0.0625	0.0625	0.181818	0.061224	0.071429	0.129032	0.04	0.068966	0.051724	0.098039	0.096154	0.086957	0.06383	0.046512	0.209302	0.061224	0.195652	0.075	0.060606	0.055556	0.084746	0.108108	0.222222	0.1	0.081633	0.133333	0.037736	0.111111	0.076923	0.148936	0.04	0.153846	0.128205	0.095238	0.133333	0.078431	0.14	0.055556	0.086957	0.1	0.113208	0.072727	0.1	0.139535	0.14	0.083333	0.097561	0.055556	0.092308	0.1	0.086022	0.125	0.1	0.136364	0.095238	0.097561	0.097561	0.119048	0.088889	0.1	0.142857	0.078947	0.02381	0.095238	0.128205	0.102564	0.052632	0.086957	0.046512	0.116279	0.263158	0.125	0.095238	0.108108	0.06	0.160714	0.159091	0.137255	0.089286	0.133333	0.021978	0.06422	0.095238	0.081081	0.076923	0.071429	0.038462	0.071429	0.023256	0.0625	0.08	0.2	0.028571	0.080645	0.130435	0.058824	0.083333	0.116279	0.075	0.068182	0.113636	0.122449	0.125	0.111111	0.0625	0	0.113636	0.1	0.1
D00095	0.222222	0.5	0.151515	0.029412	1	0.151515	0.166667	0.259259	0.21875	0.26087	0.151515	0.25	0.131579	0.096774	0.175	0.333333	0.35	0.264706	0.307692	0.184211	0.173913	0.241379	0.2	0.230769	0.104478	0.285714	0.137931	0.041667	0.210526	0.257143	0.212121	0.181818	0.291667	0.296296	0.259259	0.184211	0.2	0.173913	0.307692	0.111111	0.214286	0.228571	0.296296	0.1875	0.172414	0.12	0.02439	0.32	0.206897	0.21875	0.307692	0.375	0.266667	0.32	0.307692	0.115385	0.25	0.258065	0.409091	0.272727	0.15	0.263158	0.179487	0.184211	0.090909	0.217391	0.173913	0.193548	0.052632	0.2	0.175	0.222222	0.25	0.285714	0.173077	0.166667	0.208333	0.043478	0.166667	0.3	0.155556	0.44	0.18	0.233333	0.321429	0.25	0.184211	0.206897	0.275862	0.235294	0.242424	0.119048	0.268293	0.238095	0.23913	0.25	0.233333	0.269231	0.085366	0.061224	0.181818	0.272727	0.2	0.12963	0.307692	0.205128	0.291667	0.152174	0.058824	0.25	0.15	0.928571	0.380952	0.269231	0.235294	0.166667	0.034483	0.131579	0.285714	0.083333	0.194444	0.177778	0.130435	0.205128	0.142857	0.138889	0.205882	0.2	0.162162	0.194444	0.15	0.214286	0.444444	0.705882	0.170213	0.391304	0.15	0.15	0.189189	0.2	0.179487	0.148148	0.178571	0.153846	0.194444	0.2	0.25	0.233333	0.272727	0.121951	0.230769	0.2	0.242424	0.163265	0.162791	0.315789	0.25	0.25	0.170732	0.578947	0.565217	0.705882	0.107143	0.045455	0.108434	0.125	0.090909	0.171429	0.321429	0.241379	0.285714	0.407407	0.25	0.210526	0.258065	0.333333	0.416667	0.275862	0.25	0.307692	0.347826	0.138889	0.384615	0.258065	0.147059	0.25	0.233333	0.185185	0.189189	0.142857	0.135135	0.166667	0.209302	0.25	0.12	0.080808	0.275862	0.192308	0.222222	0.241379	0.184211	0.2	0.458333	0.229167	0.323529	0	0.227273	0.183673	0.194444	0.227273	0.578947	0.21875	0.259259	0.266667	0.212121	0.210526	0.241379	0.068966	0.156863	0.34375	0.176471	0.296296	0.206897
D00106	0.096774	0.181818	0.724138	0.236842	0.151515	1	0.146341	0.179487	0.133333	0.051282	0.666667	0.068182	0.057692	0.243243	0.134615	0.128205	0.147059	0.122449	0.095238	0.163265	0.054054	0.066667	0.105263	0.1	0.131579	0.263158	0.071429	0.233333	0.115385	0.365854	0.106383	0.027027	0.102564	0.093023	0.121951	0.1875	0.02439	0.081967	0.121951	0.405405	0.179487	0.145833	0.205128	0.06383	0.15	0.142857	0.148936	0.097561	0.068182	0.214286	0.069767	0.097561	0.136364	0.071429	0.210526	0.138889	0.155556	0.085106	0.102564	0.052632	0.074074	0.2	0.115385	0.14	0.090909	0.111111	0.026316	0.139535	0.032258	0.166667	0.134615	0.097561	0.076923	0.2	0.177419	0.052632	0.025	0.090909	0.08	0.133333	0.122807	0.170732	0.183333	0.065217	0.113636	0.181818	0.1875	0.175	0.139535	0.148936	0.177778	0.552632	0.142857	0.066667	0.189655	0.107143	0.195122	0.125	0.10989	0.185185	0.085106	0	0.2	0.123077	0.095238	0.204082	0.162162	0.226415	0.2	0.021739	0.26087	0.147059	0.078947	0.097561	0.125	0.102041	0.105263	0.1	0.116279	0.1875	0.122449	0.048387	0.032258	0.053571	0.176471	0.104167	0.081633	0.090909	0.170213	0.122449	0.611111	0.095238	0.085714	0.138889	0.063492	0.1	0.234043	0.054545	0.142857	0.148936	0.115385	0.075	0.071429	0.14	0.122449	0.116279	0.119048	0.113636	0.35	0.137255	0.363636	0.153846	0.12766	0.232143	0.215686	0.107143	0.175	0.181818	0.176471	0.166667	0.2	0.138889	0.057143	0.115385	0.155556	0.258065	0.241379	0.177778	0.166667	0.090909	0.170732	0.086957	0.155556	0.137255	0.159091	0.189189	0.15	0.088889	0.119048	0.15	0.075	0.152174	0.170732	0.108696	0.7	0.357143	0.166667	0.047619	0.166667	0.133333	0.384615	0.089286	0.142857	0.121212	0.090909	0.11215	0.195122	0.102564	0.097561	0.142857	0.117647	0.142857	0.175	0.290909	0.23913	0.181818	0.083333	0.147541	0.195652	0.026316	0.135135	0.085106	0.095238	0.162791	0.181818	0.16	0.142857	0.34375	0.075758	0.195652	0.155556	0.146341	0.119048
D00110	0.192308	0.125	0.119048	0.1	0.166667	0.146341	1	0.592593	0.2	0.151515	0.119048	0.222222	0.106383	0.34375	0.217391	0.205882	0.16129	0.130435	0.194444	0.255814	0.2	0.25	0.114286	0.242424	0.296875	0.25	0.05	0.096774	0.222222	0.358974	0.289474	0.129032	0.212121	0.257143	0.194444	0.148936	0.21875	0.26	0.228571	0.195122	0.131579	0.238095	0.257143	0.382353	0.102564	0.148148	0.186047	0.166667	0.294118	0.411765	0.194444	0.2	0.236842	0.2	0.34375	0.055556	0.195122	0.230769	0.176471	0.193548	0.170213	0.266667	0.122449	0.227273	0.178571	0.275862	0.125	0.483871	0	0.181818	0.191489	0.3125	0.258065	0.25	0.111111	0.193548	0.117647	0.075472	0.214286	0.263158	0.12963	0.153846	0.114754	0.179487	0.210526	0.166667	0.285714	0.128205	0.277778	0.186047	0.136364	0.12	0.109091	0.244898	0.1	0.113208	0.483871	0.135135	0.152941	0.22	0.333333	0.121212	0.363636	0.186441	0.194444	0.191489	0.333333	0.215686	0.184211	0.157895	0.25	0.16129	0.1875	0.166667	0.159091	0.214286	0.181818	0.368421	0.184211	0	0.181818	0.127273	0.173077	0.142857	0.325581	0.219512	0.25	0.285714	0.209302	0.130435	0.1	0.30303	0.296296	0.1875	0.185185	0.171429	0.222222	0.170213	0.232558	0.186047	0.25	0.111111	0.235294	0.285714	0.209302	0.25	0.157895	0.314286	0.342105	0.222222	0.295455	0.163265	0.282051	0.178571	0.18	0.113208	0.571429	0.139535	0.14	0.181818	0.125	0.1875	0.183333	0.078431	0.134831	0.028571	0	0.190476	0.15	0.25	0.184211	0.27027	0.25641	0.122449	0.263158	0.205882	0.162162	0.179487	0.157895	0.264706	0.212121	0.25	0.184211	0.297297	0.170732	0.255814	0.243243	0.108108	0.152174	0.203704	0.214286	0.234043	0.12963	0.36	0.081395	0.104762	0.243243	0.111111	0.3125	0.125	0.255814	0.25	0.157895	0.172414	0.125	0.125	0.090909	0.116667	0.130435	0.125	0.181818	0.263158	0.30303	0.205128	0.113636	0.145833	0.285714	0.025641	0.096774	0.130435	0.289474	0.157895	0.257143
D00113	0.2	0.166667	0.15	0.075	0.259259	0.179487	0.592593	1	0.236842	0.15625	0.15	0.228571	0.108696	0.448276	0.25	0.212121	0.25	0.159091	0.2	0.261905	0.206897	0.257143	0.117647	0.25	0.344262	0.222222	0.078947	0.137931	0.255814	0.368421	0.333333	0.096774	0.21875	0.264706	0.3125	0.152174	0.1875	0.265306	0.235294	0.2	0.135135	0.275	0.264706	0.277778	0.105263	0.164557	0.136364	0.171429	0.264706	0.46875	0.2	0.205882	0.277778	0.205882	0.3125	0.088235	0.263158	0.236842	0.21875	0.2	0.173913	0.272727	0.148936	0.232558	0.185185	0.241379	0.09375	0.551724	0.037037	0.225806	0.25	0.322581	0.266667	0.257143	0.112903	0.2	0.15625	0.098039	0.190476	0.305556	0.132075	0.189189	0.116667	0.184211	0.25	0.2	0.292683	0.131579	0.285714	0.190476	0.139535	0.122449	0.132075	0.2	0.140351	0.137255	0.666667	0.138889	0.141176	0.2	0.342857	0.125	0.419355	0.189655	0.2	0.25	0.392857	0.22	0.189189	0.131579	0.255814	0.25	0.193548	0.171429	0.162791	0.282051	0.151515	0.5	0.189189	0.0625	0.243902	0.150943	0.176471	0.145833	0.365854	0.25641	0.25641	0.333333	0.243902	0.159091	0.125	0.3125	0.307692	0.233333	0.188679	0.176471	0.227273	0.173913	0.268293	0.190476	0.285714	0.083333	0.242424	0.292683	0.243902	0.294118	0.131579	0.285714	0.351351	0.227273	0.302326	0.217391	0.324324	0.203704	0.208333	0.137255	0.72	0.2	0.142857	0.225806	0.189189	0.233333	0.186441	0.125	0.149425	0.09375	0.066667	0.195122	0.153846	0.257143	0.189189	0.243243	0.263158	0.125	0.342857	0.212121	0.235294	0.184211	0.194444	0.3125	0.21875	0.25641	0.222222	0.305556	0.205128	0.261905	0.285714	0.142857	0.155556	0.207547	0.219512	0.266667	0.132075	0.375	0.082353	0.105769	0.25	0.114286	0.366667	0.157895	0.292683	0.294118	0.194444	0.196429	0.152174	0.09375	0.129032	0.137931	0.159091	0.129032	0.225806	0.305556	0.3125	0.243243	0.116279	0.148936	0.294118	0.054054	0.098361	0.186047	0.297297	0.162162	0.264706
D00136	0.129032	0.176471	0.108696	0.066667	0.21875	0.133333	0.2	0.236842	1	0.2	0.108696	0.333333	0.142857	0.146341	0.463415	0.285714	0.290323	0.244444	0.382353	0.526316	0.25	0.441176	0.102564	0.363636	0.242857	0.25641	0.121951	0.1875	0.475	0.212766	0.394737	0.114286	0.294118	0.333333	0.424242	0.348837	0.30303	0.288462	0.236842	0.104167	0.146341	0.333333	0.2	0.085106	0.119048	0.197531	0.145833	0.210526	0.333333	0.3	0.305556	0.314286	0.545455	0.277778	0.27027	0.076923	0.558824	0.368421	0.257143	0.205882	0.282609	0.487805	0.204082	0.414634	0.088235	0.138889	0.111111	0.282051	0.064516	0.228571	0.578947	0.314286	0.264706	0.324324	0.254237	0.242424	0.272727	0.12963	0.375	0.368421	0.203704	0.4	0.263158	0.351351	0.315789	0.325	0.414634	0.170732	0.388889	0.27907	0.2	0.090909	0.25	0.27451	0.22807	0.211538	0.219512	0.243243	0.172414	0.140351	0.268293	0.205882	0.361111	0.233333	0.342857	0.22449	0.257143	0.375	0.139535	0.2	0.255319	0.25	0.2	0.210526	0.27907	0.71875	0.075	0.365854	0.289474	0.114286	0.435897	0.2	0.3	0.2	0.355556	0.421053	0.421053	0.324324	0.272727	0.365854	0.092593	0.382353	0.21875	0.235294	0.36	0.285714	0.229167	0.204082	0.357143	0.27907	0.404762	0.1	0.314286	0.45	0.473684	0.484848	0.2	0.388889	0.195652	0.18	0.22	0.386364	0.384615	0.372549	0.188679	0.26	0.263158	0.232558	0.270833	0.228571	0.166667	0.235294	0.25	0.134615	0.179775	0.081081	0.121212	0.255814	0.25	0.441176	0.225	0.159091	0.432432	0.282609	0.3	0.25	0.424242	0.388889	0.142857	0.382353	0.333333	0.2	0.4	0.368421	0.130435	0.26087	0.351351	0.125	0.295455	0.254545	0.145833	0.409091	0.326531	0.225806	0.127907	0.176471	0.315789	0.128205	0.483871	0.4	0.45	0.633333	0.411765	0.241379	0.318182	0.081081	0.176471	0.290909	0.302326	0.176471	0.194444	0.3	0.382353	0.243902	0.204545	0.282609	0.225	0.073171	0.180328	0.333333	0.514286	0.263158	0.333333
D00139	0.190476	0.2	0.025	0.027027	0.26087	0.051282	0.151515	0.15625	0.2	1	0.025	0.310345	0.179487	0.027778	0.25	0.206897	0.2	0.277778	0.37037	0.263158	0.2	0.344828	0.137931	0.296296	0.132353	0.21875	0.090909	0	0.25641	0.119048	0.30303	0.26087	0.214286	0.310345	0.275862	0.297297	0.32	0.23913	0.321429	0.02381	0.15625	0.210526	0.1875	0.138889	0.121212	0.12987	0.071429	0.241379	0.266667	0.135135	0.321429	0.285714	0.322581	0.333333	0.193548	0.032258	0.264706	0.272727	0.259259	0.347826	0.225	0.214286	0.289474	0.297297	0.038462	0.24	0.25	0.142857	0	0.137931	0.219512	0.333333	0.222222	0.181818	0.163636	0.192308	0.185185	0.02	0.323529	0.3125	0.195652	0.3	0.169811	0.333333	0.290323	0.264706	0.230769	0.151515	0.212121	0.285714	0.189189	0.020408	0.222222	0.222222	0.2	0.177778	0.176471	0.2	0.121951	0.037736	0.272727	0.24	0.114286	0.142857	0.423077	0.111111	0.214286	0.191489	0.026316	0.1875	0.166667	0.25	0.28	0.241379	0.285714	0.216216	0.03125	0.179487	0.3	0	0.243243	0.217391	0.222222	0.25	0.186047	0.222222	0.257143	0.258065	0.243243	0.210526	0.020833	0.321429	0.208333	0.230769	0.208333	0.206897	0.166667	0.195122	0.175	0.25	0.225	0.214286	0.285714	0.230769	0.243243	0.258065	0.310345	0.290323	0.125	0.088889	0.133333	0.214286	0.294118	0.176471	0.06	0.232558	0.151515	0.194444	0.214286	0.222222	0.181818	0.230769	0.160714	0	0.117647	0.034483	0	0.222222	0.176471	0.344828	0.181818	0.171429	0.30303	0.25641	0.2	0.25	0.275862	0.333333	0.225806	0.321429	0.307692	0.1	0.344828	0.3125	0.02439	0.116279	0.142857	0.206897	0.236842	0.156863	0.022727	0.238095	0.222222	0.217391	0.115385	0.1	0.176471	0.133333	0.285714	0.21875	0.230769	0.21875	0.310345	0.169811	0.230769	0	0.25	0.196078	0.243243	0.2	0.222222	0.235294	0.321429	0.171429	0.30303	0.289474	0.21875	0.030303	0.192308	0.243243	0.264706	0.266667	0.1875
