	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00040	1	0.545455	0.297297	0.53125	0.459459	0.190476	0.333333	0.526316	0.7	0.6	0.428571	0.540541	0.647059	0.208333	0.372093	0.073171	0.5	0.232558	0.125	0.444444	0.190476	0.425	0.470588	0.046512	0.282051	0.104167	0.066667	0.363636	0.068182	0.070175	0.080645	0.26	0.076923	0.066667	0.414634	0.416667	0.473684	0.416667	0.414634	0.055556	0.076923	0.041667	0.348837	0.104167	0.277778	0.5	0.4	0.306122	0.129032	0.363636	0.125	0.378378	0.266667	0.095238
D00066	0.545455	1	0.387097	0.833333	0.689655	0.184211	0.387097	0.358974	0.769231	0.457143	0.607143	0.368421	0.378378	0.188406	0.459459	0.083333	0.333333	0.333333	0.065217	0.62069	0.184211	0.677419	0.5	0.111111	0.323529	0.090909	0.04878	0.447368	0.105263	0.076923	0.050847	0.380952	0.027778	0.04878	0.358974	0.586207	0.7	0.586207	0.514286	0.061224	0.031746	0.097561	0.472222	0.116279	0.207547	0.84	0.5	0.404762	0.140351	0.447368	0.115385	0.4375	0.3	0.025
D00067	0.297297	0.387097	1	0.464286	0.352941	0.105263	0.818182	0.25	0.34375	0.297297	0.448276	0.25641	0.263158	0.161765	0.275	0.2	0.25641	0.730769	0.121951	0.375	0.105263	0.289474	0.4	0.233333	0.75	0.153846	0.212121	0.405405	0.21875	0.204545	0.113208	0.309524	0.214286	0.212121	0.25	0.433333	0.297297	0.433333	0.470588	0.166667	0.107143	0.3125	0.25	0.25	0.386364	0.34375	0.297297	0.244444	0.215686	0.3	0.25	0.30303	0.53125	0.027027
D00075	0.53125	0.833333	0.464286	1	0.678571	0.162162	0.464286	0.342105	0.62963	0.441176	0.72	0.351351	0.361111	0.19403	0.444444	0.057143	0.315789	0.352941	0.044444	0.666667	0.162162	0.5625	0.535714	0.117647	0.387097	0.045455	0.078947	0.472222	0.052632	0.08	0.034483	0.365854	0.029412	0.078947	0.342105	0.692308	0.580645	0.692308	0.545455	0.041667	0.05	0.102564	0.457143	0.121951	0.24	0.692308	0.484848	0.390244	0.105263	0.472222	0.098039	0.517241	0.351351	0.026316
D00088	0.459459	0.689655	0.352941	0.678571	1	0.142857	0.352941	0.333333	0.580645	0.421053	0.6	0.27907	0.317073	0.231884	0.628571	0.076923	0.309524	0.275	0.061224	0.724138	0.142857	0.527778	0.454545	0.102564	0.371429	0.085106	0.095238	0.487179	0.097561	0.092593	0.048387	0.487805	0.052632	0.095238	0.333333	0.580645	0.588235	0.580645	0.435897	0.078431	0.0625	0.090909	0.473684	0.108696	0.218182	0.580645	0.421053	0.47619	0.133333	0.526316	0.150943	0.484848	0.27907	0.047619
D00094	0.190476	0.184211	0.105263	0.162162	0.142857	1	0.105263	0.238095	0.184211	0.219512	0.128205	0.342105	0.25	0.125	0.152174	0.085714	0.342105	0.093023	0.371429	0.179487	1	0.159091	0.157895	0.054054	0.1	0.093023	0.076923	0.173913	0.051282	0.1	0.109091	0.14	0.028571	0.076923	0.333333	0.125	0.190476	0.125	0.106383	0.02	0.103448	0.073171	0.155556	0.146341	0.067797	0.184211	0.162791	0.137255	0.084746	0.148936	0.055556	0.125	0.085106	0.111111
D00105	0.333333	0.387097	0.818182	0.464286	0.352941	0.105263	1	0.282051	0.387097	0.333333	0.4	0.289474	0.297297	0.161765	0.275	0.2	0.289474	0.607143	0.121951	0.333333	0.105263	0.25641	0.4	0.15625	0.826087	0.153846	0.25	0.405405	0.21875	0.152174	0.113208	0.27907	0.214286	0.25	0.282051	0.34375	0.263158	0.34375	0.470588	0.195122	0.127273	0.235294	0.219512	0.25	0.452381	0.34375	0.297297	0.217391	0.215686	0.268293	0.27907	0.34375	0.633333	0.027027
D00129	0.526316	0.358974	0.25	0.342105	0.333333	0.238095	0.282051	1	0.394737	0.487179	0.3	0.638889	0.8125	0.202703	0.297872	0.095238	0.512821	0.195652	0.142857	0.35	0.238095	0.282609	0.333333	0.044444	0.268293	0.1	0.086957	0.319149	0.065217	0.105263	0.078125	0.226415	0.073171	0.086957	0.714286	0.292683	0.318182	0.292683	0.304348	0.072727	0.090909	0.061224	0.276596	0.1	0.267857	0.325	0.288889	0.294118	0.125	0.265306	0.140351	0.325	0.255319	0.090909
D00143	0.7	0.769231	0.34375	0.62963	0.580645	0.184211	0.387097	0.394737	1	0.545455	0.5	0.444444	0.457143	0.188406	0.384615	0.083333	0.405405	0.263158	0.065217	0.516129	0.184211	0.575758	0.551724	0.052632	0.323529	0.090909	0.075	0.375	0.105263	0.037037	0.050847	0.318182	0.027778	0.075	0.394737	0.483871	0.545455	0.483871	0.394737	0.083333	0.048387	0.046512	0.394737	0.116279	0.230769	0.703704	0.457143	0.372093	0.140351	0.375	0.137255	0.4375	0.268293	0.025
D00163	0.6	0.457143	0.297297	0.441176	0.421053	0.219512	0.333333	0.487179	0.545455	1	0.351351	0.390244	0.473684	0.191781	0.311111	0.073171	0.357143	0.232558	0.08	0.405405	0.219512	0.425	0.515152	0.046512	0.315789	0.081633	0.090909	0.276596	0.044444	0.109091	0.116667	0.26	0.076923	0.090909	0.45	0.342105	0.365854	0.342105	0.348837	0.055556	0.111111	0.041667	0.348837	0.104167	0.277778	0.416667	0.365854	0.306122	0.129032	0.304348	0.145455	0.342105	0.295455	0.15
