	hsa190	hsa2099	hsa2100	hsa2101	hsa2103	hsa2104	hsa2908	hsa3174	hsa367	hsa4306	hsa5241	hsa5465	hsa5468	hsa5914	hsa5915	hsa5916	hsa6095	hsa6096	hsa6097	hsa6256	hsa6257	hsa6258	hsa7421	hsa8856	hsa9970	hsa9971
hsa190	1	0.0260267330473769	0.0251995975656403	0.0419509905417681	0.0427595980366958	0.0518851146950085	0.0191142136435537	0.067201228297951	0.0192123820228085	0.0203468746364678	0.0207717584404241	0.0273345843851285	0.0284547955771943	0.0250328076662088	0.0237477344356753	0.0249774256325095	0.0179332965382288	0.020343388183645	0.0268482202884501	0.0709573569384697	0.0628826556873632	0.0369390417548288	0.0371596973450943	0.0351697092472271	0.0287873801678091	0.0360788430599661
hsa2099	0.0260267330473769	1	0.385291520838268	0.254100147044773	0.241851027557274	0.258893783071742	0.131047708158589	0.140771091937798	0.119238019840392	0.120272044897541	0.129516860347121	0.0928416059632321	0.109252441521706	0.140516447774696	0.148842576683781	0.148462200221682	0.0853387890059742	0.0907107607976082	0.0810574896203805	0.182938949807791	0.168555206268866	0.0386844362636134	0.11238399175576	0.095273230694617	0.127434733513351	0.117583866840084
hsa2100	0.0251995975656403	0.385291520838268	1	0.239561435273825	0.226572973058899	0.240141229829559	0.144458467816554	0.148144238837628	0.119956966479618	0.122777591813845	0.131196485470263	0.0961173005583893	0.0944790521170864	0.148962852942309	0.141943831335285	0.145227111218421	0.0886474805186148	0.0952939816590417	0.0869836228307792	0.16852812709186	0.15788155102036	0.0366355565472728	0.102551371872857	0.0887873905929847	0.13704416494424	0.12692056768406
hsa2101	0.0419509905417681	0.254100147044773	0.239561435273825	1	0.50963752565178	0.545147367118954	0.154411534459839	0.184967167018432	0.124191806468867	0.136918210708971	0.142383357449572	0.11005572899274	0.128351667703708	0.188524604309974	0.183204980814741	0.195533252952748	0.0949960169480974	0.10275137859612	0.0927662474913186	0.236719914221088	0.216986349497146	0.038773270945947	0.138295014055253	0.124020711581926	0.169994059397339	0.136654880970634
hsa2103	0.0427595980366958	0.241851027557274	0.226572973058899	0.50963752565178	1	0.72118593374241	0.144227170174578	0.190795358652709	0.110717515672762	0.114967307197784	0.133362966690369	0.123747169691191	0.126886718226598	0.177806631347855	0.183425183423112	0.20802618751273	0.0917355367128298	0.0962211945717274	0.0931881095233227	0.232586661248195	0.206649656550772	0.0376573723308501	0.14118775181612	0.112519169112861	0.157941243147555	0.14022485455954
hsa2104	0.0518851146950085	0.258893783071742	0.240141229829559	0.545147367118954	0.72118593374241	1	0.161482721036549	0.19965204092503	0.119156991913079	0.130254176101968	0.140475251842776	0.14240658712667	0.142440357476068	0.215258858304074	0.206061539255472	0.231099692363152	0.0946959150190497	0.100863331679184	0.0939674210449986	0.250417819756327	0.216729186443535	0.0408015113159692	0.142766050057796	0.115004246729531	0.161980128306721	0.153875566327121
hsa2908	0.0191142136435537	0.131047708158589	0.144458467816554	0.154411534459839	0.144227170174578	0.161482721036549	1	0.10292202319282	0.23366133237194	0.276680673701978	0.257273185997517	0.0770235782318696	0.0680350221098536	0.0956682219808598	0.0967512260194818	0.099896408066952	0.061022018367731	0.0653405266697028	0.0632340591109719	0.114512424231549	0.101278583187301	0.0424742454395567	0.0641000255241269	0.0716087871365802	0.107362639938087	0.0922508840782246
hsa3174	0.067201228297951	0.140771091937798	0.148144238837628	0.184967167018432	0.190795358652709	0.19965204092503	0.10292202319282	1	0.0931003191540263	0.0823122689971206	0.097153782604896	0.132132232529795	0.13124123054992	0.174741650897043	0.18903472256636	0.179164431115118	0.0977090488244506	0.107429890897985	0.102083125656298	0.300161966515045	0.278860573509804	0.0352477378441716	0.119420545127527	0.115132995433364	0.152691480962303	0.130524007330819
hsa367	0.0192123820228085	0.119238019840392	0.119956966479618	0.124191806468867	0.110717515672762	0.119156991913079	0.23366133237194	0.0931003191540263	1	0.205292729861636	0.254715034157448	0.0614301755419609	0.0638462018276166	0.0872173108056878	0.0845598171313611	0.0910417177834616	0.0556788506823852	0.0607664129009518	0.0572738028793646	0.104676668165327	0.09363641311181	0.0283280026621643	0.06786857138423	0.0648460913023208	0.0877870079466815	0.0816834732082478
hsa4306	0.0203468746364678	0.120272044897541	0.122777591813845	0.136918210708971	0.114967307197784	0.130254176101968	0.276680673701978	0.0823122689971206	0.205292729861636	1	0.230991199722466	0.0699413282975481	0.0667950739719785	0.0870932644100805	0.0849722432081885	0.0955033020363903	0.0610715808774633	0.0713580139979585	0.0648467659555655	0.0905693724095082	0.0820310293987481	0.0359637753775175	0.0761895685964624	0.0756135298878157	0.0940189670678044	0.0855913272705694
